Bandit,Reward,Algorithm
3.0,3.1021459333699477,EpsilonGreedy
3.0,3.616957736183004,EpsilonGreedy
3.0,4.206039083015426,EpsilonGreedy
3.0,4.533437233465877,EpsilonGreedy
3.0,5.412973318012548,EpsilonGreedy
3.0,4.581611200961964,EpsilonGreedy
3.0,4.162495014924864,EpsilonGreedy
3.0,3.5863951655002344,EpsilonGreedy
3.0,4.080076882223243,EpsilonGreedy
3.0,4.956564687631349,EpsilonGreedy
3.0,4.093416282542803,EpsilonGreedy
3.0,4.932440988164664,EpsilonGreedy
3.0,3.0562820782442692,EpsilonGreedy
3.0,4.760826864269804,EpsilonGreedy
3.0,4.690642483367198,EpsilonGreedy
3.0,5.474498288491093,EpsilonGreedy
3.0,2.766197363595607,EpsilonGreedy
3.0,4.497506432332252,EpsilonGreedy
3.0,4.391860050572948,EpsilonGreedy
3.0,4.949173882127,EpsilonGreedy
3.0,5.045896927050993,EpsilonGreedy
3.0,3.4526711852806002,EpsilonGreedy
3.0,3.0946111692989717,EpsilonGreedy
3.0,5.003637200264263,EpsilonGreedy
3.0,2.5306398698391,EpsilonGreedy
3.0,4.270856781632305,EpsilonGreedy
3.0,5.739147139319052,EpsilonGreedy
3.0,5.081510464234472,EpsilonGreedy
3.0,3.6329441296473184,EpsilonGreedy
3.0,2.8741909954019853,EpsilonGreedy
3.0,4.107649304822116,EpsilonGreedy
3.0,4.499671684576895,EpsilonGreedy
3.0,4.470399672411316,EpsilonGreedy
